business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,debt_to_income_ratio,collateral_value,repayment_history,default_flag
Trading,18,2501580,182403,1436311,326,0,0.57,423500,Poor,1
Services,14,6713491,197170,1455764,547,1,0.83,3252639,Average,1
Manufacturing,18,1794139,46128,835890,400,0,0.75,3623509,Poor,1
Services,14,5773660,51556,1761382,395,2,0.82,407558,Good,1
Retail,20,3309828,278470,1480024,683,3,0.11,3866708,Average,0
Manufacturing,21,4452092,172948,972229,581,4,0.87,195333,Good,1
Retail,24,2090146,160021,2888109,621,1,0.48,1307580,Poor,1
Retail,15,369518,71962,2653441,695,4,0.74,3143053,Average,1
Services,22,476355,110054,662495,577,0,0.2,4589455,Average,1
Retail,4,2216334,222278,248017,828,0,0.42,4683522,Average,0
Services,13,3064717,44099,1114941,562,3,0.32,3875886,Good,0
Manufacturing,23,420243,255943,902224,592,1,0.33,2043220,Average,1
Services,8,5501682,425932,2867369,593,1,0.2,2054749,Average,0
Manufacturing,18,6342060,203683,2918921,694,3,0.74,1235369,Average,0
Services,12,7530057,189957,721064,812,0,0.11,1313558,Average,0
Trading,23,6987764,335288,2308126,479,0,0.35,1739266,Poor,1
Trading,14,3499039,216292,2379518,534,0,0.24,1675074,Good,0
Retail,2,6614148,27837,1492987,636,4,0.57,4035300,Good,0
Services,18,1997818,200427,300319,307,2,0.3,2920578,Average,0
Services,24,3076374,198371,889949,742,0,0.31,1795811,Poor,0
Manufacturing,2,6983635,432375,84012,838,2,0.49,2127536,Average,0
Retail,11,2618620,407356,716775,390,2,0.62,4501826,Good,1
Services,9,3787379,398824,1644550,571,1,0.2,1418038,Good,0
Retail,12,6671608,268003,557730,304,3,0.24,4620163,Good,0
Trading,17,2860837,388946,1782679,518,4,0.3,3184705,Average,0
Services,15,3974942,122413,2179313,417,2,0.88,36417,Average,1
Services,17,7600259,71012,504529,414,4,0.42,4321694,Poor,1
Retail,18,6595425,150193,2394218,562,1,0.58,2537262,Poor,1
Services,22,1384309,472521,2911129,605,0,0.29,2677482,Good,0
Retail,6,2729151,238168,1363122,721,2,0.49,2422549,Good,0
Services,17,341743,168178,1161766,506,3,0.16,1228489,Poor,1
Manufacturing,23,6197361,78123,589203,602,1,0.13,4509171,Good,0
Retail,24,470948,131825,1361629,411,4,0.47,3837522,Poor,1
Services,18,5388181,28720,950542,716,0,0.42,4895789,Average,0
Trading,8,6611779,188733,84112,584,4,0.21,3483321,Good,0
Services,9,3969021,266103,2876563,484,3,0.65,2826614,Good,1
Trading,6,5821452,244970,1185166,520,2,0.89,1129717,Poor,1
Trading,5,7150322,244866,2995759,743,3,0.42,3670573,Average,0
Manufacturing,12,801793,434336,1740336,416,4,0.6,894208,Good,1
Retail,11,626284,170862,344768,369,4,0.87,4240956,Good,1
Services,1,2130314,78655,111264,369,3,0.77,2065512,Poor,1
Manufacturing,11,4077341,210715,950198,726,3,0.47,4310352,Average,0
Services,19,6413141,113448,2834470,742,3,0.69,4255245,Poor,1
Trading,9,568508,198446,2017775,436,0,0.2,1385548,Average,1
Retail,2,4885315,193979,2509507,803,4,0.51,2443841,Average,0
Services,12,5971445,201143,693790,430,1,0.32,4567071,Poor,1
Services,4,6198931,140507,493148,517,0,0.23,4587577,Poor,1
Trading,4,5276563,316956,2803915,470,0,0.44,4056167,Average,0
Services,18,6162766,331714,1268284,774,0,0.2,1824472,Poor,0
Services,15,2070403,333045,2944423,428,1,0.66,2423874,Good,1
Trading,19,4671272,80186,1858570,356,3,0.46,784118,Good,0
Manufacturing,13,6648518,142066,1238878,480,4,0.52,3003780,Good,0
Trading,19,7868370,410508,1998058,545,2,0.22,3599413,Good,0
Manufacturing,17,5229426,201323,544523,443,2,0.21,4649761,Good,0
Retail,6,7260677,216243,2373016,350,4,0.57,4818671,Poor,1
Manufacturing,16,1576485,56160,1648515,667,1,0.89,779558,Average,1
Manufacturing,24,806995,39156,672207,758,2,0.18,4411503,Poor,0
Retail,12,2485454,96208,761232,517,0,0.33,687843,Good,0
Manufacturing,19,6562094,493196,692064,556,2,0.8,1341915,Good,1
Trading,5,2372723,485536,915630,455,4,0.16,4973872,Poor,1
Manufacturing,17,5527528,169001,1243387,741,0,0.8,758049,Poor,1
Retail,23,3135743,479822,180697,324,2,0.52,4348111,Average,0
Trading,1,865635,251226,2996878,835,4,0.43,2332433,Good,0
Retail,24,827409,475775,2673229,359,1,0.35,2085445,Poor,1
Retail,23,2480945,467421,2035500,766,4,0.34,4559217,Average,0
Services,10,1901028,261766,1359989,733,1,0.34,957217,Good,0
Services,15,587635,481691,218678,365,0,0.81,3925864,Good,1
Retail,23,883510,215413,481856,405,4,0.68,1345790,Good,1
Retail,21,7269981,377521,1666999,395,3,0.64,2519128,Poor,1
Retail,21,5022340,325007,1135643,467,3,0.74,529254,Good,1
Services,11,6093721,232909,1025924,341,3,0.31,2864263,Good,0
Services,13,7756579,85439,853789,403,3,0.59,1394682,Average,0
Manufacturing,5,5078972,158266,220923,503,3,0.47,603986,Poor,1
Manufacturing,1,6635787,222459,350406,819,1,0.73,2337427,Average,0
Retail,24,5245697,141361,567961,581,4,0.35,1051574,Poor,1
Trading,12,3411500,232986,1085598,342,0,0.61,3268387,Good,1
Trading,11,1993481,217286,2561902,409,3,0.81,897465,Average,1
Services,17,5320296,378320,213944,509,3,0.42,1036325,Poor,1
Services,4,3361342,49777,2646105,348,0,0.15,165720,Poor,1
Services,15,900198,276427,2740543,414,0,0.51,864465,Good,1
Retail,9,697891,177255,1580523,454,3,0.38,1711463,Good,1
Trading,21,3381362,440661,2656237,802,1,0.64,1707008,Average,0
Manufacturing,20,4994505,218110,611700,370,0,0.86,405234,Average,1
Retail,19,3947965,369345,1408454,818,4,0.49,2101628,Poor,0
Manufacturing,19,1341566,429414,2650002,635,4,0.47,3124027,Average,0
Manufacturing,12,5539167,434627,1120804,366,1,0.62,2717208,Good,1
Retail,5,7323032,201649,2267779,792,2,0.18,3903881,Average,0
Manufacturing,10,5552948,298011,2487220,512,1,0.3,4411787,Average,0
Trading,17,4024476,82501,2153627,480,3,0.84,802651,Poor,1
Manufacturing,5,5381502,165338,2899603,547,2,0.64,4667423,Good,1
Trading,22,1919282,321566,1768664,513,3,0.11,3564064,Poor,1
Trading,16,3734078,186280,291382,658,4,0.26,793287,Good,0
Trading,7,4098196,141544,865977,548,0,0.65,1498345,Good,1
Services,9,2135295,444429,2663339,815,3,0.71,2559001,Poor,1
Manufacturing,3,1370913,158439,1066254,387,4,0.77,1224233,Average,1
Retail,15,3597466,275230,1852348,475,1,0.33,2753596,Poor,1
Retail,16,4741971,492242,1815692,725,3,0.84,3244584,Average,0
Manufacturing,18,5150825,55362,2871287,380,4,0.54,4347320,Poor,1
Services,14,7623777,270449,480037,437,0,0.66,706757,Poor,1
Services,3,7105697,333732,2439911,732,3,0.58,3799838,Average,0
Trading,12,1187099,189357,1776681,769,4,0.2,4736662,Average,0
Manufacturing,9,5895095,146683,2410541,649,3,0.87,2867893,Average,0
Manufacturing,7,7738096,276157,167408,425,0,0.2,2153842,Poor,1
Retail,9,3353407,225827,686431,608,3,0.3,745371,Average,0
Manufacturing,13,4445295,222918,2040933,529,3,0.75,585422,Average,1
Services,18,1717231,318451,849288,759,4,0.59,4019915,Average,0
Manufacturing,5,1831181,362424,1286541,644,2,0.77,2390785,Good,0
Retail,13,707974,433083,2086721,609,3,0.51,4011179,Average,0
Trading,4,3904724,338667,1690913,319,2,0.4,1227450,Average,0
Retail,2,7118922,497377,1943190,840,1,0.84,951077,Average,0
Retail,16,7147575,419594,2018881,776,3,0.13,2524056,Good,0
Trading,9,4627552,235757,1833367,568,2,0.78,4830058,Good,1
Retail,9,1451882,127669,1793685,302,1,0.28,4312596,Average,1
Retail,6,6756182,228030,367798,315,4,0.78,236424,Average,1
Manufacturing,11,1244131,178998,1301222,657,3,0.21,46475,Average,0
Manufacturing,22,7299366,123215,540783,432,4,0.56,999044,Average,0
Trading,24,2771321,118707,891813,611,1,0.81,2107424,Good,0
Manufacturing,22,1000270,426396,1157177,781,4,0.48,3953231,Average,0
Manufacturing,1,390417,112837,2817160,843,4,0.7,4302948,Good,1
Retail,4,7305067,400214,836796,604,0,0.74,4400612,Poor,1
Services,13,4922942,450147,1264216,568,1,0.69,2335109,Good,1
Manufacturing,23,1360560,437230,514710,713,4,0.84,4120116,Poor,1
Services,13,5632192,265847,1368156,324,2,0.46,4616145,Good,0
Manufacturing,13,492458,247544,2042834,615,1,0.24,3698847,Good,0
Manufacturing,2,7723323,362016,1161871,575,0,0.14,380457,Good,0
Trading,9,7385023,471718,1504430,688,3,0.3,2912951,Average,0
Trading,24,5018912,369880,771075,743,4,0.21,2798325,Good,0
Trading,8,7611918,287614,2216561,726,2,0.55,1542666,Average,0
Services,7,6030267,247467,1050610,356,0,0.25,4738713,Good,0
Retail,4,7268500,166025,571998,667,1,0.13,3443419,Good,0
Manufacturing,18,7564873,255652,2523055,641,4,0.13,2422938,Poor,0
Manufacturing,3,2223782,451723,1377877,603,0,0.77,2769690,Good,0
Manufacturing,6,4909409,375113,2872508,673,0,0.57,67258,Average,0
Services,12,4196937,111493,2737328,411,2,0.39,2278274,Poor,1
Trading,12,1708791,288667,2334319,305,3,0.82,2162790,Poor,1
Retail,21,5797963,237995,1949955,578,3,0.16,4025131,Good,0
Services,8,2276850,208262,1578914,681,3,0.88,1831004,Good,0
Trading,22,4402553,460977,1955888,312,1,0.59,4957607,Poor,1
Services,22,3400618,313313,54507,602,0,0.25,1912768,Average,0
Retail,1,3031303,65641,1988142,459,1,0.64,804350,Good,1
Trading,4,6633233,174062,1142564,453,0,0.71,4863341,Poor,1
Services,21,346250,49661,2507717,480,2,0.44,3959945,Average,1
Retail,11,4305194,164491,722225,825,2,0.79,1453447,Good,0
Manufacturing,3,5385676,296601,1490334,479,1,0.22,2433954,Poor,1
Retail,13,1650850,349744,2174365,676,1,0.32,46371,Poor,1
Manufacturing,17,775147,123619,447693,467,2,0.17,549175,Good,0
Services,22,6247586,358246,2022613,513,4,0.27,538147,Average,0
Trading,22,3317193,53085,2665880,449,3,0.29,3456211,Average,0
Trading,10,4185850,117064,1754801,315,3,0.83,4678588,Poor,1
Services,21,2412368,201726,1267745,390,2,0.16,497981,Average,0
Trading,12,2743445,419346,1394091,419,3,0.44,4690676,Poor,1
Trading,15,7118753,125723,2382284,552,4,0.53,867414,Good,0
Manufacturing,21,1176336,153114,454470,359,4,0.82,808344,Average,1
Services,10,4130415,352278,185090,565,0,0.9,644927,Good,1
Retail,14,6736737,325126,841624,708,1,0.7,166587,Poor,1
Manufacturing,13,5198107,347329,2935599,330,3,0.88,1780446,Good,1
Services,5,6082197,53477,944586,320,4,0.73,174847,Average,1
Manufacturing,6,6003709,134161,774276,588,1,0.87,364211,Good,1
Retail,24,5229107,334853,1651207,842,1,0.67,3660983,Average,0
Retail,2,2585221,179788,905738,797,0,0.16,3669694,Average,0
Services,22,3810043,360281,1104405,773,1,0.42,3420099,Average,0
Retail,17,4608760,318162,1657245,704,1,0.62,1454823,Average,0
Manufacturing,4,3770431,159133,2359305,847,2,0.38,239891,Average,0
Retail,14,7442780,159681,2427559,431,0,0.32,4829440,Poor,1
Manufacturing,10,5351145,317515,2906188,623,0,0.56,1378284,Good,0
Manufacturing,3,4371867,261422,2593628,431,3,0.85,645209,Poor,1
Retail,3,7410953,365165,2059386,820,1,0.13,3530486,Good,0
Services,15,4212487,434021,534427,329,3,0.72,1197961,Good,1
Trading,6,6974144,290001,2467714,600,4,0.68,2434482,Good,0
Retail,17,1718060,162692,1844834,303,1,0.87,1341084,Poor,1
Manufacturing,12,4528087,28177,574436,624,4,0.84,1460153,Average,0
Manufacturing,22,4528456,443327,647202,808,2,0.71,2689389,Average,0
Retail,20,4939022,271842,1603687,536,1,0.52,1154906,Poor,1
Services,24,6096260,370722,2071913,834,3,0.26,1472862,Average,0
Services,11,448725,497397,2090987,315,3,0.54,1152298,Good,1
Manufacturing,4,791215,109941,1159229,833,1,0.71,1145318,Average,1
Manufacturing,6,6297804,278121,242593,745,3,0.82,643913,Average,0
Services,1,2568693,31826,2487611,802,1,0.73,4073184,Average,0
Trading,20,4224152,164962,1391795,529,0,0.26,4623885,Good,0
Retail,23,7988659,364572,2046777,406,3,0.58,2949740,Average,0
Manufacturing,16,1208017,146044,2139884,688,1,0.37,4315536,Average,0
Manufacturing,15,621898,209103,1022048,562,1,0.11,4937410,Average,1
Services,17,985338,357164,59795,364,3,0.26,1704910,Poor,1
Retail,8,7727624,25495,1687419,564,0,0.19,799111,Poor,1
Services,12,3802415,48481,1561546,637,3,0.77,1241439,Average,0
Retail,22,6634625,162339,677395,600,1,0.31,2124581,Poor,0
Retail,21,354745,400041,2460825,677,0,0.33,280217,Poor,1
Retail,10,1983032,256774,2027752,474,4,0.87,594495,Good,1
Manufacturing,15,5132577,157815,1546030,451,2,0.4,4961567,Poor,1
Trading,9,5532651,468016,2899090,775,3,0.11,1552906,Poor,0
Services,2,6254632,123475,61009,565,1,0.33,2958037,Average,0
Trading,5,2418219,199845,228168,628,0,0.2,1423249,Good,0
Services,6,2448185,339186,1773480,462,0,0.18,3275957,Good,0
Retail,7,345256,69476,2537065,737,4,0.16,4445732,Good,0
Manufacturing,21,7337449,243177,2041367,642,3,0.57,2742353,Poor,0
Trading,1,6830911,310696,1425330,666,0,0.25,2617867,Average,0
Manufacturing,23,802264,216314,380328,764,4,0.39,2240515,Good,0
Services,7,3646145,458988,2580449,498,1,0.79,812586,Good,1
Manufacturing,20,1239695,456946,264709,799,4,0.44,3927962,Poor,0
Manufacturing,12,2483955,180020,2758668,315,3,0.83,3345541,Good,1
Trading,16,1552390,227383,909375,595,4,0.5,4427724,Average,0
Retail,16,2515995,89093,1050294,810,0,0.42,3241558,Good,0
Manufacturing,11,779809,89123,1514003,538,0,0.7,2395497,Average,1
Retail,21,2950432,36535,996984,600,2,0.16,2529847,Average,0
Services,4,4475282,348634,2335362,305,4,0.17,4408173,Average,0
Manufacturing,13,5755483,66562,2892894,519,1,0.62,4113475,Poor,1
Trading,7,7164547,401186,1942901,752,3,0.49,461811,Poor,0
Services,4,3817847,276323,227265,732,2,0.73,2784246,Average,0
Services,15,2067413,371224,897790,685,4,0.83,4938591,Average,0
Trading,19,4638586,278916,1357981,594,1,0.41,4294282,Good,0
Manufacturing,9,2873697,209607,240128,417,2,0.58,1091144,Good,0
Manufacturing,11,7666302,250063,1740792,704,0,0.5,3460076,Good,0
Services,8,3900952,61269,1681570,311,3,0.89,1998069,Poor,1
Manufacturing,1,2271277,100674,2025556,508,4,0.76,704825,Good,1
Retail,23,6312097,324606,629294,464,1,0.83,2843353,Average,1
Trading,24,7123196,416343,1710102,593,0,0.3,4911047,Average,0
Retail,8,5846510,305291,2395170,818,2,0.72,4278548,Poor,1
Manufacturing,13,7654891,458744,1561710,377,3,0.31,3509605,Poor,1
Services,22,1244740,97095,1817091,733,2,0.27,4516537,Good,0
Trading,4,3346555,264172,882230,376,2,0.86,3988485,Poor,1
Manufacturing,8,6397020,220003,1175847,347,1,0.12,742126,Average,0
Manufacturing,3,5654342,110925,866609,381,0,0.87,4944854,Average,1
Services,9,1496311,86381,440166,508,4,0.22,3201647,Poor,1
Services,2,6422388,119468,2662783,744,1,0.76,2291707,Average,0
Retail,2,4744041,262330,1442935,821,3,0.32,2924117,Poor,0
Trading,13,7921229,345893,1705464,328,2,0.38,4556274,Average,0
Trading,15,442157,451888,1456819,603,3,0.27,1902283,Good,0
Services,23,5894769,33731,1414170,764,1,0.57,3016181,Poor,0
Retail,12,2587319,406791,2531936,801,1,0.38,4866117,Poor,0
Trading,4,5088109,467728,928835,745,4,0.63,4069483,Poor,1
Services,8,6219393,71024,2585750,789,2,0.11,895176,Average,0
Manufacturing,9,5679199,136712,673578,727,1,0.15,2116659,Good,0
Trading,23,7519513,121121,2519485,658,3,0.18,734756,Poor,0
Retail,5,1762603,285976,943964,390,4,0.44,1790580,Average,0
Retail,24,1575029,52332,2278588,352,3,0.75,466401,Poor,1
Retail,20,3320791,32467,893353,503,2,0.81,4684078,Average,1
Manufacturing,18,436645,61025,2429093,455,4,0.3,4956735,Good,1
Trading,11,5536396,164179,1335979,301,4,0.56,736809,Average,0
Trading,15,1952131,97994,1655399,656,4,0.71,3471914,Average,0
Manufacturing,22,1486837,114202,358444,357,0,0.33,4515964,Poor,1
Trading,9,642221,63481,2163257,553,4,0.43,3669896,Average,1
Manufacturing,17,7028318,415797,2810451,479,3,0.52,3620109,Poor,1
Manufacturing,12,2735919,95118,653760,792,3,0.21,1210340,Average,0
Manufacturing,7,1479580,406154,747389,334,2,0.12,4227816,Good,0
Retail,10,353687,464854,1769799,374,1,0.22,3811807,Average,1
Trading,10,5349048,143714,2225249,588,1,0.6,1993729,Poor,1
Manufacturing,13,5650495,421634,311674,670,0,0.16,1060978,Average,0
Trading,19,2790272,244699,2288671,628,4,0.25,4838356,Average,0
Retail,11,7143308,180185,96940,603,0,0.37,2761728,Good,0
Manufacturing,13,5473395,104363,783307,520,2,0.16,1079626,Poor,1
Services,21,2929137,405751,2232153,463,2,0.25,3765824,Good,0
Retail,8,5098757,345188,2899310,779,1,0.83,4244397,Average,0
Services,8,4175010,231027,2898411,754,2,0.12,4199354,Good,0
Trading,4,7526006,474246,1106504,674,4,0.62,2492806,Average,0
Trading,15,5076415,293958,2494149,519,3,0.41,4711233,Average,0
Retail,11,2339660,381484,2786054,553,2,0.64,571719,Good,1
Trading,11,2319450,292168,2264669,487,0,0.57,3389173,Good,0
Services,1,7125359,214360,2004702,490,4,0.28,1024627,Average,0
Manufacturing,17,5000858,391380,1505105,688,2,0.78,4473208,Good,0
Manufacturing,15,2271140,77836,444775,514,2,0.49,3092270,Good,0
Manufacturing,20,7508387,289579,1149469,674,4,0.76,4238119,Average,0
Retail,6,7192180,480300,1375887,385,2,0.42,3863548,Poor,1
Trading,24,4161607,275095,2710038,773,3,0.89,1660850,Good,0
Services,22,3828434,352745,1237171,830,1,0.72,2122786,Good,0
Trading,15,7449005,281176,2983361,346,4,0.87,3192301,Poor,1
Trading,9,4424390,403015,471655,364,0,0.51,946152,Good,0
Trading,14,2956222,269717,1477098,774,2,0.48,4112212,Average,0
Manufacturing,18,6546093,154479,1179636,445,1,0.7,1699963,Good,1
Services,17,1427109,381087,849717,681,0,0.8,2550565,Average,0
Services,18,4734315,52940,1502765,365,0,0.87,2111722,Poor,1
Trading,5,5732207,25666,2532266,816,3,0.36,1346143,Poor,0
Manufacturing,20,1853744,319266,2694134,392,1,0.74,2177415,Poor,1
Manufacturing,20,4566988,400791,2051854,725,4,0.27,1739721,Good,0
Services,9,5993014,176164,971806,767,1,0.54,4306750,Poor,0
Manufacturing,11,2088220,411897,821136,393,1,0.24,4912470,Good,0
Manufacturing,24,4311718,405546,841043,432,0,0.38,843395,Good,0
Manufacturing,22,5759501,226717,1243728,733,3,0.85,1547439,Good,0
Retail,1,7875327,383334,917050,640,3,0.22,4228645,Poor,0
Trading,18,4313582,382612,2784385,613,1,0.61,529885,Poor,1
Services,6,3172875,411351,2767653,511,1,0.57,2583016,Good,0
Services,2,2130288,46505,2168026,819,2,0.2,2756308,Poor,1
Retail,15,6485640,56713,1554329,458,0,0.36,1155703,Good,0
Trading,21,7538965,467603,1827850,567,4,0.55,1124165,Poor,1
Services,14,2141646,325313,2541965,773,4,0.25,2518896,Average,0
Manufacturing,5,4269579,224354,585888,709,3,0.74,2868432,Poor,1
Services,6,6100545,97511,2618921,773,0,0.88,4325911,Poor,1
Manufacturing,6,7545594,464958,2827327,655,3,0.27,3456341,Poor,0
Retail,22,7329107,322666,789860,492,4,0.25,3120844,Good,0
Manufacturing,18,1896246,232204,668636,570,1,0.46,195984,Good,0
Services,14,2119239,270694,2252888,413,0,0.7,570073,Average,1
Services,10,5205727,269836,1909722,822,0,0.33,2874578,Average,0
Services,14,2550618,254561,2559258,354,2,0.12,3492889,Average,1
Retail,13,4728622,381541,2602192,364,1,0.53,2488322,Good,0
Retail,3,2769930,23880,185797,571,1,0.87,1543169,Average,1
Trading,6,431936,456670,2583573,801,3,0.41,507483,Average,0
Services,8,5452030,468927,1774620,661,0,0.44,4390470,Poor,0
Manufacturing,12,2279746,63539,2632229,445,3,0.88,3901443,Average,1
Retail,13,5142256,260056,1025415,508,1,0.66,3175920,Poor,1
Services,11,7267771,481537,685861,585,2,0.68,4159334,Good,1
Services,12,2769970,239057,2422388,309,0,0.55,2052563,Good,0
Retail,1,7743565,34799,408062,485,1,0.88,1892552,Poor,1
Trading,17,5362581,124843,2172609,763,2,0.65,1708339,Average,0
Retail,16,1596573,473318,2127645,433,4,0.82,3050747,Good,1
Retail,11,5612470,463942,1451471,470,1,0.66,2102169,Poor,1
Manufacturing,13,3835647,68784,2210046,512,4,0.69,1218851,Good,1
Manufacturing,18,6920071,133034,635593,829,3,0.33,4906137,Good,0
Trading,11,2878682,456549,1766548,801,4,0.34,183195,Average,0
Services,12,6058675,454044,808201,326,1,0.73,310404,Good,1
Retail,6,5848322,220598,259699,367,4,0.34,4240242,Poor,1
Trading,9,1804900,74362,1068143,707,0,0.55,4383305,Average,0
Manufacturing,16,3690664,73997,1937145,408,1,0.3,3632910,Poor,1
Retail,4,1921788,201413,2147711,373,2,0.75,168444,Poor,1
Services,3,4904229,432289,1951257,561,4,0.19,1936736,Poor,1
Manufacturing,16,7649758,384543,87361,667,0,0.76,4902916,Average,0
Manufacturing,24,491896,296693,2948845,536,3,0.58,3289301,Good,1
Manufacturing,12,5583422,497011,2507856,665,3,0.25,2972944,Poor,0
Trading,11,4907765,339064,1811856,585,4,0.53,4524796,Good,0
Services,5,1383329,236398,2391102,677,3,0.33,4554796,Good,0
Retail,18,7457676,488731,50037,675,2,0.36,4287166,Poor,0
Trading,19,2680612,280464,2845544,375,1,0.38,2343545,Good,1
Trading,23,533979,433532,353564,308,0,0.15,3667355,Average,0
Trading,23,5103290,177255,671531,495,4,0.89,182992,Average,1
Manufacturing,6,578104,376004,2107632,589,3,0.13,631377,Good,1
Services,22,5573671,44624,703668,360,1,0.63,3696016,Good,1
Trading,18,5519574,213587,2706040,688,2,0.4,637173,Average,0
Retail,6,6878816,254784,753645,307,3,0.62,2819974,Good,1
Services,4,2298547,498997,767368,668,3,0.38,983896,Good,0
Retail,12,5869451,66705,1355927,344,0,0.64,1840996,Good,1
Services,19,4344630,109326,2671872,643,2,0.68,2940583,Good,0
Retail,2,4425279,439972,835838,674,2,0.65,3084330,Poor,1
Manufacturing,17,5091882,342534,643975,326,4,0.19,3386184,Good,0
Trading,11,7162758,88369,2915728,492,0,0.63,2309842,Average,1
Retail,11,4629454,221893,908379,656,4,0.32,446642,Poor,0
Services,21,1295893,291733,2332373,361,0,0.12,2210326,Poor,1
Trading,16,3496247,133012,2890152,361,2,0.43,4399775,Average,0
Trading,2,2139050,427332,2600552,721,0,0.45,955294,Good,0
Services,2,2970492,355325,902224,679,0,0.47,4054613,Poor,0
Retail,23,7654421,195858,2442735,576,0,0.66,1108514,Poor,1
Manufacturing,8,2755257,245758,1274322,730,1,0.35,3150877,Good,0
Manufacturing,13,6135279,143711,1411968,414,1,0.35,562367,Good,0
Retail,10,6434370,96425,750731,420,2,0.15,657844,Average,0
Trading,8,3277299,443502,1852218,824,0,0.65,1532519,Poor,1
Trading,4,3234317,35994,1791233,715,2,0.55,3521188,Good,0
Trading,15,4266914,131915,609031,462,1,0.38,4708985,Good,0
Trading,1,7463774,405105,2346976,636,0,0.66,2870405,Average,0
Retail,11,3603481,124672,2751243,678,4,0.53,2927393,Poor,0
Trading,7,4837454,308783,1299699,623,1,0.48,1200439,Good,0
Services,17,1846064,299349,2169228,472,1,0.51,1773279,Average,1
Trading,20,3540641,338821,291424,363,1,0.61,157720,Poor,1
Manufacturing,24,3015548,52930,256384,400,0,0.63,2521458,Poor,1
Trading,18,1079091,93313,2397851,621,3,0.33,352780,Poor,1
Retail,22,2666789,244923,2805475,365,4,0.21,654654,Poor,1
Manufacturing,22,2466791,133153,194938,757,4,0.23,3373285,Average,0
Retail,12,3677180,300460,2310529,752,2,0.61,1150053,Good,0
Retail,9,5859407,440520,1029907,558,0,0.8,3008889,Poor,1
Manufacturing,5,2006930,252911,263968,725,1,0.43,4387703,Poor,0
Retail,10,6267520,116058,438388,477,3,0.24,3370186,Good,0
Retail,4,6900834,107876,344957,579,0,0.71,4967690,Poor,1
Trading,5,1264795,105366,1951737,643,0,0.77,3319767,Poor,1
Services,10,6195842,33403,1028190,316,3,0.8,3985869,Good,1
Retail,11,2883236,362196,840944,595,1,0.59,985452,Good,0
Retail,21,1878458,268550,2397855,501,0,0.79,4374237,Poor,1
Retail,24,2109771,281420,1514458,493,4,0.11,2738279,Good,0
Trading,10,569515,497843,1246278,448,4,0.19,2220459,Average,1
Services,8,1920179,355639,2265059,674,3,0.17,2220002,Average,0
Manufacturing,2,6281804,183004,2352743,334,1,0.67,2393078,Poor,1
Trading,23,4097267,378234,443852,668,3,0.16,3851844,Poor,0
Trading,8,6823976,318845,1035461,328,0,0.5,1917797,Good,0
Services,16,6146694,416601,1687455,520,4,0.48,4823809,Good,0
Services,22,7883491,272396,2671021,352,2,0.35,756391,Poor,1
Trading,5,971986,77241,1566608,652,3,0.8,1248036,Poor,1
Manufacturing,3,2634482,161439,1856423,691,2,0.24,4170613,Average,0
Trading,12,7745605,85030,2944935,375,2,0.38,2574896,Good,0
Services,13,3321786,197577,2000408,793,4,0.72,3081465,Poor,1
Manufacturing,13,437900,184404,677915,821,3,0.12,1732938,Poor,1
Services,10,4813962,498394,1226957,416,2,0.64,2656163,Good,1
Manufacturing,4,4994668,227397,1456427,579,0,0.75,2171466,Good,1
Retail,9,1584283,448484,2744749,474,1,0.85,3346885,Poor,1
Services,22,6047797,499702,1895786,594,1,0.8,212471,Poor,1
Services,24,4118971,438779,2815013,750,4,0.36,2895393,Poor,0
Trading,23,7289875,125185,2018188,817,3,0.57,2024249,Good,0
Services,2,7114572,56404,86382,320,3,0.16,2367396,Poor,1
Services,19,1803061,75182,2893866,372,1,0.31,3869535,Poor,1
Retail,1,813066,315135,912219,335,0,0.18,4534075,Poor,1
Services,7,4308146,124601,1121917,806,1,0.35,2696075,Average,0
Retail,17,6415271,198735,1768303,532,1,0.8,3462892,Average,1
Retail,3,2661331,348030,1324856,796,3,0.38,4724255,Good,0
Retail,20,1458343,142002,2552370,505,2,0.55,770602,Poor,1
Retail,20,2831113,365992,2757260,725,0,0.45,3925871,Poor,0
Manufacturing,21,841529,437343,2556068,343,3,0.47,2990186,Good,1
Trading,3,2974415,339836,2881817,390,1,0.88,3541478,Good,1
Manufacturing,3,4648530,245461,1685407,769,2,0.34,1494237,Good,0
Services,17,5456758,319644,533075,766,0,0.6,664945,Poor,0
Manufacturing,7,7083274,315929,2659624,753,4,0.44,4680467,Average,0
Manufacturing,14,2453548,104146,1827310,632,0,0.15,753830,Good,0
Services,17,1841019,67997,377370,806,0,0.49,2133544,Poor,0
Services,18,418920,27170,2978751,769,1,0.75,162198,Good,1
Services,13,706547,164375,1307427,320,1,0.18,2401781,Poor,1
Manufacturing,20,6786455,353887,2601733,527,4,0.16,3912495,Good,0
Manufacturing,20,1959090,491068,2214533,675,4,0.22,2405094,Poor,1
Services,21,1957583,55187,883142,429,4,0.71,4875364,Good,1
Trading,18,363014,216106,328910,713,3,0.68,501670,Average,0
Trading,4,4009362,484992,152416,370,3,0.55,2002587,Good,0
Retail,1,7186155,152965,1147034,703,1,0.47,1227327,Good,0
Services,18,6777006,164825,892653,696,1,0.81,4417597,Average,0
Retail,1,6210494,58090,1886517,636,4,0.71,2187090,Good,0
